id,sol,cam_name,img_src,earth_date,rover_name,cat_foun
102693,1000,FHAZ,http://mars.jpl.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/01000/opgs/edr/fcam/FLB_486265257EDR_F0481570FHAZ00323M_.JPG,2015-05-30,Curiosity,N,
102694,1000,FHAZ,http://mars.jpl.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/01000/opgs/edr/fcam/FRB_486265257EDR_F0481570FHAZ00323M_.JPG,2015-05-30,Curiosity,N,
102850,1000,RHAZ,http://mars.jpl.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/01000/opgs/edr/rcam/RLB_486265291EDR_F0481570RHAZ00323M_.JPG,2015-05-30,Curiosity,N,
102851,1000,RHAZ,http://mars.jpl.nasa.gov/msl-raw-images/proj/msl/redops/ods/surface/sol/01000/opgs/edr/rcam/RRB_486265291EDR_F0481570RHAZ00323M_.JPG,2015-05-30,Curiosity,N,
424905,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631300503690E01_DXXX.jpg,2015-05-30,Curiosity,N,
424906,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631300305227E03_DXXX.jpg,2015-05-30,Curiosity,N,
424907,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631290503689E01_DXXX.jpg,2015-05-30,Curiosity,N,
424908,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631290305226E03_DXXX.jpg,2015-05-30,Curiosity,N,
424909,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631280503688E0B_DXXX.jpg,2015-05-30,Curiosity,N,
424910,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631280305225E03_DXXX.jpg,2015-05-30,Curiosity,N,
424911,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631270503687E03_DXXX.jpg,2015-05-30,Curiosity,N,
424912,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631270305224E03_DXXX.jpg,2015-05-30,Curiosity,N,
424913,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631260503686E03_DXXX.jpg,2015-05-30,Curiosity,N,
424914,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631260305223E03_DXXX.jpg,2015-05-30,Curiosity,N,
424915,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631250503685E01_DXXX.jpg,2015-05-30,Curiosity,N,
424916,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631250305222E03_DXXX.jpg,2015-05-30,Curiosity,N,
424917,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631240503684E03_DXXX.jpg,2015-05-30,Curiosity,N,
424918,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631240305221E03_DXXX.jpg,2015-05-30,Curiosity,N,
424919,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631230503683E01_DXXX.jpg,2015-05-30,Curiosity,N,
424920,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631230305220E02_DXXX.jpg,2015-05-30,Curiosity,N,
424921,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631220503682E01_DXXX.jpg,2015-05-30,Curiosity,N,
424922,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631220305219E01_DXXX.jpg,2015-05-30,Curiosity,N,
424923,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631210503681E01_DXXX.jpg,2015-05-30,Curiosity,N,
424924,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631210305218E01_DXXX.jpg,2015-05-30,Curiosity,N,
424925,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631200503680E0C_DXXX.jpg,2015-05-30,Curiosity,N,
424926,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631200305217E01_DXXX.jpg,2015-05-30,Curiosity,N,
424927,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631190503679E04_DXXX.jpg,2015-05-30,Curiosity,N,
424928,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631190305216E04_DXXX.jpg,2015-05-30,Curiosity,N,
424929,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631180503678E01_DXXX.jpg,2015-05-30,Curiosity,N,
424930,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631180305215E01_DXXX.jpg,2015-05-30,Curiosity,N,
424931,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631170503677E03_DXXX.jpg,2015-05-30,Curiosity,N,
424932,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631170305214E01_DXXX.jpg,2015-05-30,Curiosity,N,
424933,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631160503676E02_DXXX.jpg,2015-05-30,Curiosity,N,
424934,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631160305213E01_DXXX.jpg,2015-05-30,Curiosity,N,
424935,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631150503675E02_DXXX.jpg,2015-05-30,Curiosity,N,
424936,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631150305212E01_DXXX.jpg,2015-05-30,Curiosity,N,
424937,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631140503674E01_DXXX.jpg,2015-05-30,Curiosity,N,
424938,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631140305211E02_DXXX.jpg,2015-05-30,Curiosity,N,
424939,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631130503673E01_DXXX.jpg,2015-05-30,Curiosity,N,
424940,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631130305210E01_DXXX.jpg,2015-05-30,Curiosity,N,
424941,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631120305209E02_DXXX.jpg,2015-05-30,Curiosity,N,
424942,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631120503672E01_DXXX.jpg,2015-05-30,Curiosity,N,
424943,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631110503671E02_DXXX.jpg,2015-05-30,Curiosity,N,
424944,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631110305208E01_DXXX.jpg,2015-05-30,Curiosity,N,
424945,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631100503670E02_DXXX.jpg,2015-05-30,Curiosity,N,
424946,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631100305207E01_DXXX.jpg,2015-05-30,Curiosity,N,
424947,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631090503669E02_DXXX.jpg,2015-05-30,Curiosity,N,
424948,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631090305206E01_DXXX.jpg,2015-05-30,Curiosity,N,
424949,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631080503668E01_DXXX.jpg,2015-05-30,Curiosity,N,
424950,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631080305205E01_DXXX.jpg,2015-05-30,Curiosity,N,
424951,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631070305204E01_DXXX.jpg,2015-05-30,Curiosity,N,
424952,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631070503667E01_DXXX.jpg,2015-05-30,Curiosity,N,
424953,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631060503666E02_DXXX.jpg,2015-05-30,Curiosity,N,
424954,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631060305203E01_DXXX.jpg,2015-05-30,Curiosity,N,
424955,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631050503665E01_DXXX.jpg,2015-05-30,Curiosity,N,
424956,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631050305202E01_DXXX.jpg,2015-05-30,Curiosity,N,
424957,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631040503664E01_DXXX.jpg,2015-05-30,Curiosity,N,
424958,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631040305201E01_DXXX.jpg,2015-05-30,Curiosity,N,
424959,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631030503663E02_DXXX.jpg,2015-05-30,Curiosity,N,
424960,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631030305200E02_DXXX.jpg,2015-05-30,Curiosity,N,
424961,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631020503662E02_DXXX.jpg,2015-05-30,Curiosity,N,
424962,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631020305199E01_DXXX.jpg,2015-05-30,Curiosity,N,
424963,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631010503661E02_DXXX.jpg,2015-05-30,Curiosity,N,
424964,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631010305198E01_DXXX.jpg,2015-05-30,Curiosity,N,
424965,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044631000503660E01_DXXX.jpg,2015-05-30,Curiosity,N,
424966,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044631000305197E02_DXXX.jpg,2015-05-30,Curiosity,N,
424967,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630990503659E01_DXXX.jpg,2015-05-30,Curiosity,N,
424968,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630990305196E01_DXXX.jpg,2015-05-30,Curiosity,N,
424969,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630980503658E01_DXXX.jpg,2015-05-30,Curiosity,N,
424970,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630980305195E01_DXXX.jpg,2015-05-30,Curiosity,N,
424971,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630970503657E01_DXXX.jpg,2015-05-30,Curiosity,N,
424972,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630970305194E01_DXXX.jpg,2015-05-30,Curiosity,N,
424973,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630960503656E01_DXXX.jpg,2015-05-30,Curiosity,N,
424974,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630960405193E01_DXXX.jpg,2015-05-30,Curiosity,N,
424975,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630950503655E01_DXXX.jpg,2015-05-30,Curiosity,N,
424976,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630950405192E01_DXXX.jpg,2015-05-30,Curiosity,N,
424977,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630940503654E02_DXXX.jpg,2015-05-30,Curiosity,N,
424978,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630940405191E01_DXXX.jpg,2015-05-30,Curiosity,N,
424979,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630930503653E01_DXXX.jpg,2015-05-30,Curiosity,N,
424980,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630930405190E01_DXXX.jpg,2015-05-30,Curiosity,N,
424981,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630920503652E02_DXXX.jpg,2015-05-30,Curiosity,N,
424982,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630920405189E01_DXXX.jpg,2015-05-30,Curiosity,N,
424983,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630910503651E02_DXXX.jpg,2015-05-30,Curiosity,N,
424984,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630910405188E01_DXXX.jpg,2015-05-30,Curiosity,N,
424985,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630900503650E01_DXXX.jpg,2015-05-30,Curiosity,N,
424986,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630900405187E01_DXXX.jpg,2015-05-30,Curiosity,N,
424987,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630890503649E02_DXXX.jpg,2015-05-30,Curiosity,N,
424988,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630890405186E01_DXXX.jpg,2015-05-30,Curiosity,N,
424989,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630880503648E02_DXXX.jpg,2015-05-30,Curiosity,N,
424990,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630880405185E01_DXXX.jpg,2015-05-30,Curiosity,N,
424991,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630870503647E01_DXXX.jpg,2015-05-30,Curiosity,N,
424992,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630870405184E01_DXXX.jpg,2015-05-30,Curiosity,N,
424993,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630860503646E01_DXXX.jpg,2015-05-30,Curiosity,N,
424994,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630860405183E01_DXXX.jpg,2015-05-30,Curiosity,N,
424995,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630850503645E02_DXXX.jpg,2015-05-30,Curiosity,N,
424996,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630850405182E01_DXXX.jpg,2015-05-30,Curiosity,N,
424997,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630840405181E02_DXXX.jpg,2015-05-30,Curiosity,N,
424998,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630840503644E01_DXXX.jpg,2015-05-30,Curiosity,N,
424999,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630830503643E02_DXXX.jpg,2015-05-30,Curiosity,N,
425000,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630830405180E01_DXXX.jpg,2015-05-30,Curiosity,N,
425001,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630820503642E02_DXXX.jpg,2015-05-30,Curiosity,N,
